time_bucket_2_accel,x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
62,0.91,1.24,-9.54,509
64,0.91,1.35,-9.58,509
65,0.88,1.35,-9.58,509
66,0.91,1.28,-9.62,509
67,0.91,1.39,-9.66,509
68,0.88,1.32,-9.58,509
69,0.91,1.32,-9.58,509
70,0.91,1.28,-9.62,509
71,0.88,1.32,-9.62,509
72,0.91,1.35,-9.58,509
73,0.88,1.32,-9.62,509
74,0.88,1.32,-9.58,509
75,0.88,1.28,-9.58,509
76,0.91,1.32,-9.66,509
77,0.88,1.32,-9.35,509
78,0.88,1.28,-9.66,509
79,0.88,1.32,-9.62,509
80,0.88,1.35,-9.54,509
81,0.88,1.32,-9.62,509
82,0.91,1.32,-9.62,509
83,0.91,1.32,-9.58,509
84,0.91,1.35,-9.62,509
85,0.95,1.39,-9.73,509
86,0.35,0.49,-9.42,509
87,1.66,-1.65,-9.19,509
88,2.86,-3.04,-8.92,509
89,0.95,5.19,-9.39,509
90,-0.28,0.11,-7.76,509
91,0.99,1.05,-9.81,509
92,0.8,1.2,-9.66,509
93,0.95,1.32,-9.69,509
94,0.88,1.32,-9.62,509
95,0.91,2.86,-9.81,509
96,0.91,1.35,-9.54,509
97,0.91,1.32,-9.58,509
98,0.91,1.35,-9.66,509
99,0.88,1.32,-9.66,509
100,0.88,1.32,-9.54,509
102,0.91,1.35,-9.58,509
103,0.88,1.35,-9.66,509
104,0.91,1.39,-9.58,509
105,0.91,1.32,-9.66,509
106,0.91,1.32,-9.62,509
107,0.91,1.28,-9.54,509
108,0.91,1.32,-9.58,509
109,0.91,1.35,-9.62,509
110,0.91,1.39,-9.62,509
111,0.91,1.32,-9.62,509
112,0.91,1.35,-9.58,509
113,0.88,1.47,-9.73,509
114,0.95,1.35,-9.66,509
115,0.91,1.32,-9.62,509
116,0.88,1.32,-9.62,509
117,0.95,1.35,-9.62,509
118,0.99,1.32,-9.62,509
119,0.88,1.35,-9.62,509
120,0.95,1.39,-9.62,509
121,0.99,1.39,-9.58,509
122,0.91,1.32,-9.58,509
123,0.91,1.35,-9.66,509
124,0.88,1.35,-9.66,509
125,0.91,1.35,-9.66,509
126,0.95,1.28,-9.62,509
127,0.91,1.32,-9.62,509
128,0.88,1.35,-9.66,509
129,0.88,1.32,-9.62,509
130,0.91,1.35,-9.66,509
131,0.88,1.35,-9.69,509
132,0.91,1.35,-9.66,509
133,0.91,1.32,-9.62,509
134,0.91,1.32,-9.62,509
135,0.91,1.32,-9.66,509
136,0.88,1.32,-9.66,509
137,0.88,1.35,-9.62,509
138,0.91,1.32,-9.62,509
139,0.91,1.32,-9.62,509
140,0.91,1.32,-9.62,509
142,0.88,1.35,-9.66,509
143,0.88,1.39,-9.62,509
144,0.91,1.39,-9.73,509
145,0.95,1.35,-9.66,509
146,0.95,1.32,-9.62,509
147,0.91,1.35,-9.66,509
148,0.88,1.32,-9.58,509
149,0.91,1.24,-9.58,509
150,0.91,1.32,-9.62,509
151,0.91,1.32,-9.58,509
152,0.88,1.32,-9.58,509
153,0.91,1.32,-9.66,509
154,0.91,1.35,-9.62,509
155,0.91,1.35,-9.58,509
156,0.88,1.32,-9.66,509
157,0.95,1.32,-9.69,509
158,0.95,1.28,-9.5,509
159,0.95,1.32,-9.66,509
160,0.91,1.32,-9.62,509
161,0.88,1.32,-9.58,509
162,0.91,1.32,-9.66,509
163,0.91,1.35,-9.62,509
164,0.88,1.32,-9.62,509
165,0.91,1.32,-9.62,509
166,0.88,1.35,-9.58,509
167,0.88,1.35,-9.62,509
168,0.95,1.32,-9.58,509
169,0.91,1.32,-9.54,509
170,0.91,1.35,-9.66,509
171,0.91,1.35,-9.62,509
172,0.91,1.28,-9.62,509
173,0.91,1.32,-9.58,509
174,0.91,1.32,-9.85,509
175,0.91,1.35,-9.66,509
176,0.88,1.35,-9.58,509
177,0.88,1.32,-9.58,509
178,0.95,1.32,-9.62,509
179,0.91,1.35,-9.62,509
180,0.91,1.32,-9.58,509
181,0.95,1.35,-9.58,509
182,0.91,1.32,-9.58,509
183,0.91,1.28,-9.54,509
185,0.95,1.17,-9.62,509
186,0.95,1.39,-9.62,509
187,0.91,1.35,-9.62,509
188,0.91,1.35,-9.58,509
189,0.91,1.35,-9.54,509
190,0.91,1.32,-9.54,509
191,0.91,1.39,-9.66,509
192,0.91,1.35,-9.62,509
193,0.91,1.32,-9.62,509
194,0.91,1.32,-9.62,509
195,0.91,1.35,-9.46,509
196,0.88,1.47,-9.46,509
197,0.91,1.32,-9.58,509
198,0.95,1.32,-9.62,509
199,0.91,1.32,-9.58,509
200,0.95,1.35,-9.54,509
201,0.91,1.35,-9.62,509
202,0.91,1.39,-9.58,509
203,0.95,1.32,-9.66,509
204,0.91,1.28,-9.62,509
205,0.95,1.35,-9.62,509
206,0.91,1.35,-9.69,509
207,0.95,1.32,-9.62,509
208,0.91,1.32,-9.62,509
209,0.91,1.35,-9.62,509
210,0.95,1.32,-9.62,509
211,0.95,1.28,-9.62,509
212,0.95,1.32,-9.62,509
213,0.88,1.32,-9.62,509
214,0.91,1.35,-9.62,509
215,0.91,1.35,-9.62,509
216,0.88,1.32,-9.62,509
217,0.91,1.35,-9.66,509
218,0.91,1.32,-9.62,509
219,0.95,1.32,-9.62,509
220,0.95,1.35,-9.62,509
221,7.57,1.17,-6.52,509
222,6.22,1.17,-7.02,509
223,6,1.32,-7.84,509
225,6.89,1.17,-6.56,509
226,6.86,1.35,-7.02,509
227,1.14,2.56,-9.73,509
228,0.91,1.35,-9.66,509
229,0.95,1.28,-9.66,509
230,0.91,1.35,-9.58,509
231,0.95,1.35,-9.62,509
232,0.91,1.39,-9.62,509
233,0.88,1.39,-9.66,509
234,0.91,1.32,-9.35,509
235,0.91,1.35,-9.62,509
236,0.91,1.35,-9.66,509
237,0.95,1.35,-9.58,509
238,0.91,1.35,-9.58,509
239,0.95,1.35,-9.62,509
240,0.91,1.35,-9.62,509
241,0.91,1.32,-9.66,509
242,0.88,1.39,-9.39,509
243,0.91,1.32,-9.69,509
244,0.88,1.35,-9.58,509
245,0.91,1.28,-9.66,509
246,0.95,1.35,-9.62,509
247,0.91,1.35,-9.66,509
248,0.91,1.35,-9.62,509
249,0.95,1.32,-9.58,509
250,0.95,1.28,-9.58,509
251,0.91,1.35,-9.58,509
252,0.91,1.35,-9.62,509
253,0.95,1.35,-9.58,509
254,0.91,1.35,-9.62,509
255,0.95,1.43,-9.89,509
256,0.91,1.32,-9.54,509
257,0.91,1.39,-9.62,509
258,0.91,1.35,-9.58,509
259,0.95,1.35,-9.66,509
260,0.91,1.39,-9.58,509
261,0.95,1.35,-9.58,509
262,0.91,1.35,-9.62,509
263,0.95,1.35,-9.62,509
264,0.91,1.28,-9.46,509
266,0.91,1.32,-9.58,509
267,0.91,1.32,-9.62,509
268,0.91,1.35,-9.62,509
269,0.91,1.39,-9.62,509
270,0.91,1.35,-9.5,509
271,0.95,1.35,-9.66,509
272,0.91,1.35,-9.62,509
273,0.91,1.32,-9.5,509
274,0.95,1.35,-9.62,509
275,0.95,1.32,-9.62,509
276,0.91,1.35,-9.62,509
277,0.91,1.32,-9.62,509
278,0.88,1.39,-9.62,509
279,0.95,1.32,-9.69,509
280,0.91,1.28,-9.66,509
281,0.95,1.32,-9.58,509
282,0.88,1.28,-9.54,509
283,0.95,1.35,-9.62,509
284,0.91,1.32,-9.62,509
285,0.95,1.32,-9.54,509
286,0.95,1.35,-9.58,509
287,0.91,1.39,-9.58,509
288,0.95,1.35,-9.5,509
289,0.95,1.35,-9.66,509
290,0.91,1.35,-9.66,509
291,0.95,1.32,-9.66,509
292,0.95,1.39,-9.58,509
293,0.91,1.39,-9.66,509
294,0.95,1.35,-9.54,509
295,0.91,1.35,-9.58,509
296,0.95,1.32,-9.54,509
297,0.99,1.35,-9.62,509
298,0.95,1.35,-9.62,509
299,0.91,1.35,-9.66,509
300,0.91,1.35,-9.58,509
301,0.91,1.39,-9.62,509
302,0.88,1.39,-9.62,509
303,0.91,1.39,-9.66,509
304,0.95,1.39,-9.54,509
306,0.91,1.35,-9.46,509
307,0.91,1.39,-9.62,509
308,0.91,1.32,-9.62,509
309,0.95,1.32,-9.58,509
310,0.91,1.39,-9.62,509
311,0.91,1.32,-9.69,509
312,0.95,1.32,-9.62,509
313,0.88,1.35,-9.62,509
314,0.95,1.32,-9.62,509
315,0.95,1.39,-9.5,509
316,0.91,1.35,-9.62,509
317,0.91,1.35,-9.58,509
318,0.91,1.35,-9.5,509
319,0.91,1.39,-9.58,509
320,0.95,1.39,-9.58,509
321,0.95,1.32,-9.62,509
322,0.95,1.32,-9.66,509
323,0.88,1.35,-9.66,509
324,0.95,1.39,-9.62,509
325,0.91,1.35,-9.66,509
326,0.91,1.35,-9.66,509
327,0.91,1.32,-9.62,509
328,0.91,1.35,-9.62,509
329,0.91,1.32,-9.66,509
330,0.99,1.32,-9.62,509
331,0.95,1.39,-9.62,509
332,0.91,1.32,-9.54,509
333,0.95,1.35,-9.81,509
334,0.91,1.32,-9.58,509
335,0.91,1.43,-9.58,509
336,0.84,1.39,-9.62,509
