latitude,longitude
39.2256,-112.3199
39.2257,-112.32
39.2257,-112.32
39.2257,-112.32
39.2257,-112.3201
39.2257,-112.3202
39.2256,-112.3205
39.2257,-112.3207
39.2257,-112.3207
39.2257,-112.3207
39.2257,-112.3207
39.2257,-112.3207
39.2257,-112.3208
39.2257,-112.3209
39.2258,-112.321
39.2257,-112.3211
39.2257,-112.3212
39.2258,-112.3213
39.226,-112.3217
39.2259,-112.3219
39.2259,-112.3223
39.2259,-112.3224
39.226,-112.3226
39.226,-112.3227
39.2261,-112.3227
39.2262,-112.3228
39.2263,-112.3229
39.2263,-112.323
39.2263,-112.323
39.2263,-112.323
39.2264,-112.3232
39.2263,-112.3233
39.2263,-112.3232
39.2263,-112.3232
39.2263,-112.3233
39.2264,-112.3234
39.2263,-112.3237
39.2263,-112.3237
39.2262,-112.3237
39.2262,-112.3237
39.2263,-112.3237
39.2263,-112.3237
39.2262,-112.3239
39.2262,-112.3239
39.2262,-112.3239
39.2262,-112.324
39.2262,-112.324
39.2262,-112.324
39.2263,-112.3241
39.2263,-112.3241
39.2263,-112.3243
39.2263,-112.3244
39.2263,-112.3245
39.2264,-112.3245
39.2264,-112.3246
39.2264,-112.3246
39.2264,-112.3246
39.2264,-112.3247
39.2264,-112.3247
39.2265,-112.3248
39.2266,-112.3248
39.2266,-112.3249
39.2267,-112.325
39.2267,-112.325
39.2267,-112.3252
39.2267,-112.3253
39.2267,-112.3253
39.2266,-112.3255
39.2267,-112.3256
39.2268,-112.3257
39.2269,-112.3258
39.2269,-112.3259
39.2268,-112.3259
39.2268,-112.326
39.2268,-112.3261
39.2269,-112.3261
39.227,-112.3262
39.2271,-112.3263
39.2272,-112.3263
39.2272,-112.3264
39.2271,-112.3265
39.2271,-112.3265
39.2272,-112.3265
39.2274,-112.3267
39.2274,-112.3268
39.2275,-112.3269
39.2275,-112.3269
39.2275,-112.3268
39.2275,-112.3268
39.2276,-112.3268
39.2277,-112.3269
39.2276,-112.3271
39.2276,-112.3271
39.2275,-112.327
39.2274,-112.3271
39.2275,-112.327
39.2276,-112.327
39.2276,-112.327
39.2277,-112.327
39.2278,-112.327
39.2278,-112.327
39.2278,-112.327
39.2278,-112.327
39.2278,-112.327
39.2278,-112.3271
39.2279,-112.3271
39.2278,-112.3271
39.2278,-112.3271
39.2277,-112.3272
39.2276,-112.3273
39.2276,-112.3274
39.2276,-112.3275
39.2276,-112.3275
39.2277,-112.3276
39.2277,-112.3276
39.2277,-112.3277
39.2277,-112.3278
39.2277,-112.3279
39.2277,-112.328
39.2278,-112.3279
39.2278,-112.328
39.2278,-112.328
39.2278,-112.3282
39.2279,-112.3283
39.228,-112.3284
39.228,-112.3285
39.2281,-112.3286
39.2281,-112.3285
39.2282,-112.3286
39.2282,-112.3287
39.2283,-112.3289
39.2283,-112.3291
39.2283,-112.3292
39.2283,-112.3294
39.2283,-112.3295
39.2283,-112.3295
39.2284,-112.3296
39.2285,-112.3296
39.2285,-112.3297
39.2286,-112.3298
39.2285,-112.3299
39.2285,-112.33
39.2285,-112.33
39.2285,-112.33
39.2286,-112.3301
39.2287,-112.3303
39.2287,-112.3305
39.2286,-112.3306
39.2285,-112.3307
39.2285,-112.3307
39.2285,-112.3307
39.2286,-112.3309
39.2287,-112.3311
39.2285,-112.3315
39.2283,-112.3319
39.2283,-112.3318
39.2284,-112.3319
39.2285,-112.3319
39.2285,-112.3321
39.2285,-112.3322
39.2284,-112.3322
39.2283,-112.3322
39.2283,-112.3322
39.2283,-112.3322
39.2284,-112.3324
39.2285,-112.3325
39.2284,-112.3327
39.2284,-112.3328
39.2285,-112.3328
39.2285,-112.3328
39.2285,-112.3329
39.2285,-112.333
39.2286,-112.3331
39.2287,-112.3333
39.2287,-112.3334
39.2287,-112.3336
39.2287,-112.3338
39.2287,-112.3338
39.2287,-112.3339
39.2286,-112.334
39.2287,-112.3341
39.2287,-112.3342
39.2288,-112.3343
39.2289,-112.3342
39.2289,-112.3341
39.2288,-112.3342
39.2288,-112.3343
39.2287,-112.3344
39.2289,-112.3345
39.2291,-112.3346
39.2291,-112.3346
39.2291,-112.3346
39.2291,-112.3346
39.2291,-112.3347
39.2291,-112.3349
39.2291,-112.335
39.2292,-112.335
39.2292,-112.335
39.2292,-112.3349
39.2292,-112.3349
39.2292,-112.3349
39.2292,-112.335
39.2292,-112.3351
39.2292,-112.3352
39.2292,-112.3352
39.2291,-112.3353
39.2291,-112.3353
39.2292,-112.3354
39.2292,-112.3355
39.2293,-112.3356
39.2293,-112.3358
39.2292,-112.3359
39.2292,-112.336
39.2291,-112.3361
39.229,-112.3361
39.2291,-112.3363
39.2291,-112.3364
39.2291,-112.3366
39.229,-112.3368
39.2289,-112.3369
39.2289,-112.3369
39.2288,-112.3369
39.2288,-112.3369
39.2288,-112.337
39.2288,-112.3374
39.2288,-112.3375
39.2287,-112.3377
39.2287,-112.3378
39.2287,-112.3378
39.2286,-112.3379
39.2286,-112.338
39.2286,-112.3382
39.2287,-112.3383
39.2287,-112.3383
39.2286,-112.3384
39.2286,-112.3384
39.2285,-112.3383
39.2284,-112.3383
39.2283,-112.3384
39.2282,-112.3384
39.2282,-112.3386
39.2283,-112.3388
39.2283,-112.339
39.2283,-112.3391
39.2282,-112.3391
39.2281,-112.3392
39.228,-112.3393
39.228,-112.3393
39.228,-112.3395
39.228,-112.3398
39.228,-112.34
39.228,-112.3403
39.2279,-112.3404
39.2279,-112.3403
39.2279,-112.3404
39.2279,-112.3405
39.228,-112.3406
39.228,-112.3409
39.2279,-112.3412
39.2278,-112.3413
39.2278,-112.3413
39.228,-112.3415
39.2281,-112.3417
39.228,-112.342
39.2279,-112.3424
39.2278,-112.3425
39.2278,-112.3426
39.2279,-112.3427
39.2281,-112.3429
39.2281,-112.3431
39.2281,-112.3434
39.2281,-112.3435
39.228,-112.3435
39.2281,-112.3436
39.2282,-112.3437
39.2283,-112.344
39.2283,-112.3442
39.2283,-112.3443
39.2282,-112.3443
39.2283,-112.3443
39.2284,-112.3443
39.2285,-112.3445
39.2286,-112.3447
39.2285,-112.3448
39.2284,-112.3448
39.2283,-112.345
39.2283,-112.345
39.2285,-112.3451
39.2287,-112.3452
39.2288,-112.3454
39.2288,-112.3456
39.2287,-112.3457
39.2287,-112.3457
39.2287,-112.3457
39.2289,-112.3457
39.2289,-112.3459
39.229,-112.3463
39.2291,-112.3465
39.2291,-112.3465
39.2292,-112.3466
39.2291,-112.3467
39.2292,-112.3468
39.2293,-112.347
39.2292,-112.3472
39.2292,-112.3472
39.2292,-112.3473
39.2291,-112.3473
39.2293,-112.3473
39.2293,-112.3473
39.2293,-112.3473
39.2294,-112.3473
39.2294,-112.3473
39.2294,-112.3474
39.2294,-112.3474
39.2294,-112.3474
39.2296,-112.3474
39.2297,-112.3474
39.2297,-112.3475
39.2297,-112.3475
39.2296,-112.3475
39.2296,-112.3476
39.2296,-112.3477
39.2295,-112.3478
39.2295,-112.3479
39.2296,-112.348
39.2296,-112.348
39.2296,-112.3481
39.2295,-112.3481
39.2295,-112.3483
39.2294,-112.3484
39.2295,-112.3486
39.2296,-112.3487
39.2296,-112.3488
39.2296,-112.3488
39.2295,-112.3489
39.2295,-112.3491
39.2295,-112.3493
39.2296,-112.3494
39.2297,-112.3495
39.2298,-112.3495
39.2299,-112.3496
39.2298,-112.3497
39.2298,-112.3498
39.2298,-112.35
39.2298,-112.3502
39.2298,-112.3504
39.2298,-112.3504
39.2299,-112.3505
39.2299,-112.3506
39.2299,-112.3507
39.2298,-112.3509
39.2298,-112.351
39.2299,-112.3511
39.2299,-112.3512
39.2299,-112.3512
39.2299,-112.3512
39.23,-112.3512
39.23,-112.3513
39.23,-112.3514
39.23,-112.3515
39.2301,-112.3517
39.23,-112.352
39.23,-112.3519
39.23,-112.3519
39.23,-112.3519
39.2299,-112.3519
39.2299,-112.3521
39.2298,-112.3523
39.2297,-112.3523
39.2297,-112.3523
39.2296,-112.3523
39.2296,-112.3522
39.2297,-112.3522
39.2297,-112.3524
39.2297,-112.3525
