time,GPS_TIME,Latitude,lat_direction,longitude,lon_direction,altitude,alt_unit
62,152825.086,3921.5444,N,11234.5661,W,1404.5,M
64,152827,3921.5438,N,11234.5656,W,1408.1,M
65,152828,3921.5434,N,11234.5657,W,1410.7,M
66,152829,3921.5434,N,11234.5656,W,1411.7,M
67,152830,3921.5431,N,11234.5657,W,1413.7,M
68,152831,3921.5427,N,11234.5654,W,1415.1,M
69,152832,3921.5421,N,11234.5649,W,1417,M
70,152833,3921.5416,N,11234.5647,W,1418.7,M
71,152834,3921.5411,N,11234.5645,W,1420.2,M
72,152835,3921.5406,N,11234.5643,W,1422.3,M
73,152836,3921.54,N,11234.5641,W,1424.2,M
74,152837,3921.5396,N,11234.5638,W,1425.8,M
75,152838,3921.5392,N,11234.5637,W,1427.4,M
76,152839,3921.5387,N,11234.5635,W,1429.1,M
77,152840,3921.5383,N,11234.5633,W,1430.4,M
78,152841,3921.5379,N,11234.563,W,1432.1,M
79,152842,3921.5376,N,11234.5628,W,1433.4,M
80,152843,3921.5375,N,11234.5627,W,1434.2,M
81,152844,3921.5374,N,11234.5627,W,1434.8,M
82,152845,3921.5374,N,11234.5627,W,1435.1,M
83,152846,3921.5373,N,11234.5628,W,1435.3,M
84,152847,3921.5373,N,11234.5629,W,1435,M
85,152848,3921.5374,N,11234.5631,W,1434.7,M
86,152849,3921.5376,N,11234.5633,W,1434.2,M
87,152850,3921.5379,N,11234.5634,W,1433.8,M
88,152851,3921.5381,N,11234.5636,W,1433,M
89,152852,3921.5382,N,11234.5638,W,1432.1,M
90,152853,3921.5384,N,11234.5639,W,1431,M
91,152854,3921.5385,N,11234.564,W,1430.1,M
92,152855,3921.5386,N,11234.5642,W,1429.4,M
93,152856,3921.5388,N,11234.5643,W,1428.8,M
94,152857,3921.5389,N,11234.5643,W,1428.1,M
95,152858,3921.5391,N,11234.5644,W,1427.3,M
96,152859,3921.5391,N,11234.5644,W,1427.3,M
97,152900,3921.5391,N,11234.5644,W,1427.3,M
98,152901,3921.5391,N,11234.5644,W,1427.2,M
99,152902,3921.5391,N,11234.5644,W,1427.2,M
100,152903,3921.5391,N,11234.5644,W,1427.2,M
102,152905,3921.5391,N,11234.5644,W,1427.2,M
103,152906,3921.5391,N,11234.5644,W,1427.2,M
104,152907,3921.5391,N,11234.5644,W,1427.2,M
105,152908,3921.5391,N,11234.5644,W,1427.2,M
106,152909,3921.5392,N,11234.5644,W,1427.1,M
107,152910,3921.5392,N,11234.5644,W,1427.1,M
108,152911,3921.5392,N,11234.5644,W,1427.1,M
109,152912,3921.5392,N,11234.5644,W,1427.1,M
110,152913,3921.5392,N,11234.5644,W,1427.1,M
111,152914,3921.5392,N,11234.5644,W,1427.1,M
112,152915,3921.5392,N,11234.5644,W,1427.1,M
113,152916,3921.5392,N,11234.5644,W,1427.1,M
114,152917,3921.5392,N,11234.5644,W,1427.1,M
115,152918,3921.5392,N,11234.5644,W,1427.1,M
116,152919,3921.5392,N,11234.5644,W,1427.1,M
117,152920,3921.5392,N,11234.5644,W,1427.1,M
118,152921,3921.5392,N,11234.5644,W,1427.2,M
119,152922,3921.5392,N,11234.5644,W,1427.1,M
120,152923,3921.5392,N,11234.5644,W,1427.1,M
121,152924,3921.5392,N,11234.5643,W,1427.1,M
122,152925,3921.5392,N,11234.5643,W,1427.1,M
123,152926,3921.5392,N,11234.5644,W,1427.1,M
124,152927,3921.5392,N,11234.5644,W,1427.1,M
125,152928,3921.5392,N,11234.5644,W,1427.1,M
126,152929,3921.5392,N,11234.5643,W,1427.1,M
127,152930,3921.5392,N,11234.5643,W,1427.1,M
128,152931,3921.5392,N,11234.5643,W,1427.1,M
129,152932,3921.5392,N,11234.5644,W,1427.1,M
130,152933,3921.5392,N,11234.5644,W,1427.1,M
131,152934,3921.5392,N,11234.5643,W,1427.1,M
132,152935,3921.5392,N,11234.5644,W,1427,M
133,152936,3921.5392,N,11234.5644,W,1427,M
134,152937,3921.5392,N,11234.5644,W,1427,M
135,152938,3921.5392,N,11234.5644,W,1427,M
136,152939,3921.5392,N,11234.5644,W,1427,M
137,152940,3921.5392,N,11234.5644,W,1427,M
138,152941,3921.5392,N,11234.5643,W,1426.9,M
139,152942,3921.5392,N,11234.5644,W,1426.9,M
140,152943,3921.5392,N,11234.5643,W,1426.9,M
142,152945,3921.5392,N,11234.5643,W,1426.9,M
143,152946,3921.5392,N,11234.5643,W,1426.9,M
144,152947,3921.5392,N,11234.5643,W,1426.9,M
145,152948,3921.5392,N,11234.5643,W,1426.9,M
146,152949,3921.5392,N,11234.5643,W,1426.9,M
147,152950,3921.5392,N,11234.5643,W,1426.9,M
148,152951,3921.5392,N,11234.5643,W,1426.9,M
149,152952,3921.5392,N,11234.5643,W,1426.9,M
150,152953,3921.5392,N,11234.5643,W,1426.9,M
151,152954,3921.5392,N,11234.5643,W,1426.9,M
152,152955,3921.5392,N,11234.5643,W,1426.9,M
153,152956,3921.5392,N,11234.5643,W,1426.9,M
154,152957,3921.5392,N,11234.5643,W,1426.9,M
155,152958,3921.5392,N,11234.5643,W,1426.9,M
156,152959,3921.5392,N,11234.5643,W,1426.9,M
157,153000,3921.5392,N,11234.5643,W,1427,M
158,153001,3921.5392,N,11234.5643,W,1427,M
159,153002,3921.5392,N,11234.5643,W,1427,M
160,153003,3921.5392,N,11234.5643,W,1427,M
161,153004,3921.5392,N,11234.5643,W,1427.1,M
162,153005,3921.5392,N,11234.5643,W,1427.1,M
163,153006,3921.5391,N,11234.5643,W,1427.1,M
164,153007,3921.5391,N,11234.5643,W,1427.2,M
165,153008,3921.5391,N,11234.5642,W,1427.3,M
166,153009,3921.5391,N,11234.5642,W,1427.4,M
167,153010,3921.5391,N,11234.5641,W,1427.5,M
168,153011,3921.5391,N,11234.5641,W,1427.6,M
169,153012,3921.5391,N,11234.5641,W,1427.6,M
170,153013,3921.5391,N,11234.5641,W,1427.6,M
171,153014,3921.5391,N,11234.5641,W,1427.6,M
172,153015,3921.5391,N,11234.5641,W,1427.7,M
173,153016,3921.5391,N,11234.5641,W,1427.7,M
174,153017,3921.5391,N,11234.5641,W,1427.8,M
175,153018,3921.5391,N,11234.5641,W,1427.7,M
176,153019,3921.5391,N,11234.5641,W,1427.8,M
177,153020,3921.5391,N,11234.5641,W,1427.8,M
178,153021,3921.5391,N,11234.564,W,1427.8,M
179,153022,3921.5391,N,11234.5641,W,1427.8,M
180,153023,3921.5391,N,11234.564,W,1427.8,M
181,153024,3921.5391,N,11234.564,W,1427.8,M
182,153025,3921.5391,N,11234.564,W,1427.8,M
183,153026,3921.5391,N,11234.564,W,1427.8,M
185,153028,3921.5391,N,11234.564,W,1427.8,M
186,153029,3921.5391,N,11234.564,W,1427.8,M
187,153030,3921.5391,N,11234.564,W,1427.8,M
188,153031,3921.5391,N,11234.564,W,1427.9,M
189,153032,3921.5391,N,11234.564,W,1427.9,M
190,153033,3921.5391,N,11234.564,W,1427.9,M
191,153034,3921.5391,N,11234.564,W,1427.9,M
192,153035,3921.5391,N,11234.564,W,1427.9,M
193,153036,3921.5391,N,11234.564,W,1427.9,M
194,153037,3921.5391,N,11234.564,W,1427.9,M
195,153038,3921.5391,N,11234.564,W,1427.9,M
196,153039,3921.5391,N,11234.564,W,1427.9,M
197,153040,3921.5391,N,11234.5639,W,1428,M
198,153041,3921.5391,N,11234.564,W,1428,M
199,153042,3921.5391,N,11234.564,W,1428,M
200,153043,3921.539,N,11234.564,W,1428.1,M
201,153044,3921.539,N,11234.564,W,1428.1,M
202,153045,3921.539,N,11234.564,W,1428.2,M
203,153046,3921.539,N,11234.564,W,1428.2,M
204,153047,3921.539,N,11234.564,W,1428.3,M
205,153048,3921.539,N,11234.564,W,1428.3,M
206,153049,3921.539,N,11234.564,W,1428.3,M
